case_id,pin_code,district,state,land_type,rfctlarr_stage,land_parcel_area_acres,compensation_amount_lakhs,days_since_notification,number_of_displaced_families,litigation_cases_count,social_vulnerability_index,official_processing_speed_score,delay_probability,delay_months
LA-2024-00014,221795,Varanasi,Uttar Pradesh,Agricultural,Final Declaration,53.28,22.91,204.0,3.0,0,0.336,4.4,0,0.0
LA-2024-00015,208717,Kanpur Nagar,Uttar Pradesh,Barren/Waste,Preliminary Notification (Sec 11),2.61,10.1,89.0,4.0,0,0.741,5.6,0,0.0
LA-2024-00016,800685,Patna,Bihar,Agricultural,Survey & SIA (Social Impact Assessment),27.67,47.73,329.0,1.0,0,0.793,6.7,0,0.0
LA-2024-00017,380855,Ahmedabad,Gujarat,Forest,Final Declaration,13.35,85.95,153.0,3.0,0,0.334,5.5,0,0.0
LA-2024-00018,520730,Vijayawada,Andhra Pradesh,Residential,Draft Declaration (Sec 19),8.35,23.45,263.0,15.0,0,0.572,5.7,0,0.0
LA-2024-00019,751831,Khordha,Odisha,Agricultural,Award Enquiry (Sec 21-23),12.06,14.57,319.0,0.0,3,0.191,7.1,1,27.6
LA-2024-00020,440462,Nagpur,Maharashtra,Commercial,Award Enquiry (Sec 21-23),16.07,147.42,283.0,16.0,1,0.594,5.1,0,0.0
LA-2024-00021,380282,Ahmedabad,Gujarat,Agricultural,Compensation Disbursement,,73.83,81.0,4.0,0,0.711,7.5,0,0.0
LA-2024-00022,400311,Mumbai Suburban,Maharashtra,Agricultural,Award Declaration,28.22,31.7,166.0,6.0,0,0.646,7.5,0,0.0
LA-2024-00023,560650,Bengaluru Urban,Karnataka,Agricultural,Survey & SIA (Social Impact Assessment),3.06,107.21,1093.0,11.0,1,,7.3,1,21.8
LA-2024-00024,160578,Chandigarh,Punjab,Wetland,Preliminary Notification (Sec 11),6.35,56.24,631.0,3.0,1,0.411,7.1,0,0.0
LA-2024-00025,800169,Patna,Bihar,Agricultural,Award Declaration,11.94,244.63,414.0,5.0,0,0.397,8.7,0,0.0
LA-2024-00026,226283,Lucknow,Uttar Pradesh,Agricultural,Draft Declaration (Sec 19),41.95,84.01,272.0,3.0,0,0.379,8.8,1,14.2
LA-2024-00027,411969,Pune,Maharashtra,Barren/Waste,Draft Declaration (Sec 19),1.09,11.94,106.0,3.0,1,0.562,4.7,0,0.0
LA-2024-00028,834752,Ranchi,Jharkhand,Agricultural,Survey & SIA (Social Impact Assessment),6.56,23.91,196.0,6.0,3,0.282,1.5,1,43.0
LA-2024-00029,395778,Surat,Gujarat,Barren/Waste,Award Enquiry (Sec 21-23),3.01,25.02,161.0,5.0,0,0.531,5.2,0,0.0
LA-2024-00030,440277,Nagpur,Maharashtra,Forest,Draft Declaration (Sec 19),3.44,59.98,208.0,3.0,0,0.485,8.7,0,0.0
LA-2024-00031,440157,Nagpur,Maharashtra,Forest,Survey & SIA (Social Impact Assessment),25.48,33.5,75.0,4.0,0,0.553,5.7,1,13.1
LA-2024-00032,570361,Mysuru,Karnataka,Residential,Final Declaration,7.01,15.32,453.0,19.0,0,0.246,7.1,1,13.4
LA-2024-00033,506870,Warangal,Telangana,Commercial,Award Enquiry (Sec 21-23),1.52,78.23,30.0,23.0,0,0.312,6.2,1,14.2
LA-2024-00034,395555,Surat,Gujarat,Agricultural,Survey & SIA (Social Impact Assessment),9.63,115.6,421.0,4.0,0,0.244,5.0,0,0.0
LA-2024-00035,700805,Kolkata,West Bengal,Wetland,Award Enquiry (Sec 21-23),62.21,40.54,427.0,3.0,0,0.324,7.7,1,14.2
LA-2024-00036,505537,Karimnagar,Telangana,Barren/Waste,Final Declaration,2.37,54.54,1268.0,3.0,0,0.312,6.7,0,0.0
LA-2024-00037,751540,Khordha,Odisha,Barren/Waste,Draft Declaration (Sec 19),17.34,,184.0,1.0,0,0.411,7.0,0,0.0
LA-2024-00038,834640,Ranchi,Jharkhand,Forest,Draft Declaration (Sec 19),41.79,27.21,150.0,4.0,2,0.486,9.3,1,38.4
LA-2024-00039,600962,Chennai,Tamil Nadu,Agricultural,Survey & SIA (Social Impact Assessment),10.57,28.29,242.0,3.0,0,0.484,4.7,1,6.7
LA-2024-00040,342493,Jodhpur,Rajasthan,Agricultural,Draft Declaration (Sec 19),56.76,75.99,337.0,6.0,0,0.738,6.2,1,24.7
LA-2024-00041,530635,Visakhapatnam,Andhra Pradesh,Agricultural,Award Declaration,6.29,57.01,207.0,5.0,0,0.396,4.4,0,0.0
LA-2024-00042,221926,Varanasi,Uttar Pradesh,Agricultural,Survey & SIA (Social Impact Assessment),37.68,32.68,91.0,5.0,0,0.46,6.1,0,0.0
LA-2024-00043,208434,Kanpur Nagar,Uttar Pradesh,Forest,Possession,30.83,31.47,337.0,3.0,3,0.281,4.4,1,40.3
LA-2024-00044,625855,Madurai,Tamil Nadu,Forest,Survey & SIA (Social Impact Assessment),10.72,6.89,221.0,0.0,0,0.257,5.0,1,31.4
LA-2024-00045,506581,Warangal,Telangana,Agricultural,Draft Declaration (Sec 19),3.11,205.53,104.0,3.0,0,0.216,6.5,1,10.2
LA-2024-00046,110890,South Delhi,Delhi,Agricultural,Award Enquiry (Sec 21-23),4.7,6.16,65.0,2.0,0,,7.6,0,0.0
LA-2024-00047,440520,Nagpur,Maharashtra,Forest,Award Declaration,1.5,66.74,1410.0,4.0,1,0.526,6.2,0,0.0
LA-2024-00048,700665,Kolkata,West Bengal,Agricultural,Survey & SIA (Social Impact Assessment),18.27,46.33,413.0,5.0,3,0.542,5.2,1,58.6
LA-2024-00049,201390,Gautam Buddha Nagar,Uttar Pradesh,Wetland,Survey & SIA (Social Impact Assessment),16.5,,337.0,,2,0.415,6.3,1,35.5
LA-2024-00050,800670,Patna,Bihar,Commercial,Award Enquiry (Sec 21-23),11.79,44.35,203.0,14.0,2,0.159,5.9,1,33.0
LA-2024-00051,221393,Varanasi,Uttar Pradesh,Agricultural,Draft Declaration (Sec 19),9.93,23.81,371.0,7.0,1,0.24,4.2,0,0.0
LA-2024-00052,560647,Bengaluru Urban,Karnataka,Agricultural,Award Enquiry (Sec 21-23),34.95,83.11,101.0,5.0,0,0.613,6.8,1,11.7
LA-2024-00053,625809,Madurai,Tamil Nadu,Commercial,Award Declaration,14.2,12.83,257.0,14.0,0,0.552,5.8,0,0.0
LA-2024-00054,431490,Aurangabad,Maharashtra,Agricultural,Preliminary Notification (Sec 11),,61.03,266.0,5.0,0,0.684,4.7,0,0.0
LA-2024-00055,431485,Aurangabad,Maharashtra,Residential,Award Declaration,12.49,23.48,102.0,21.0,0,0.408,6.4,0,0.0
LA-2024-00056,505389,Karimnagar,Telangana,Agricultural,Preliminary Notification (Sec 11),62.83,,205.0,3.0,1,0.483,2.6,0,0.0
LA-2024-00057,395756,Surat,Gujarat,Agricultural,Compensation Disbursement,18.71,30.57,162.0,3.0,1,0.607,3.1,1,21.1
LA-2024-00058,530632,Visakhapatnam,Andhra Pradesh,Agricultural,Possession,7.91,38.2,125.0,5.0,1,0.241,6.7,0,0.0
LA-2024-00059,221564,Varanasi,Uttar Pradesh,Commercial,Award Enquiry (Sec 21-23),10.61,72.03,148.0,22.0,1,0.311,3.0,0,0.0
LA-2024-00060,201122,Gautam Buddha Nagar,Uttar Pradesh,Wetland,Possession,16.34,43.21,62.0,1.0,1,0.074,9.8,0,0.0
LA-2024-00061,160198,Chandigarh,Punjab,Barren/Waste,Award Declaration,7.71,108.45,491.0,5.0,0,0.361,6.0,0,0.0
LA-2024-00062,221106,Varanasi,Uttar Pradesh,Agricultural,Preliminary Notification (Sec 11),7.15,120.62,715.0,2.0,2,0.683,3.9,1,37.3
LA-2024-00063,625864,Madurai,Tamil Nadu,Residential,Preliminary Notification (Sec 11),10.92,59.94,111.0,16.0,0,0.312,4.8,0,0.0
LA-2024-00064,110865,South Delhi,Delhi,Agricultural,Preliminary Notification (Sec 11),,85.5,509.0,1.0,0,0.821,6.1,0,0.0
LA-2024-00065,411161,Pune,Maharashtra,Forest,Final Declaration,21.59,306.03,216.0,3.0,0,0.631,5.8,0,0.0
LA-2024-00066,641141,Coimbatore,Tamil Nadu,Barren/Waste,Award Enquiry (Sec 21-23),7.78,11.67,220.0,5.0,0,0.37,3.5,0,0.0
LA-2024-00067,160802,Chandigarh,Punjab,Agricultural,Final Declaration,23.07,124.25,84.0,3.0,2,0.614,6.2,1,61.4
LA-2024-00068,400571,Mumbai Suburban,Maharashtra,Wetland,Award Enquiry (Sec 21-23),,193.95,146.0,2.0,0,0.395,2.8,0,0.0
LA-2024-00069,506377,Warangal,Telangana,Agricultural,Final Declaration,14.77,67.49,330.0,7.0,1,0.366,8.0,1,19.5
LA-2024-00070,431652,Aurangabad,Maharashtra,Agricultural,Preliminary Notification (Sec 11),13.68,272.83,107.0,3.0,0,0.277,4.6,0,0.0
LA-2024-00071,800312,Patna,Bihar,Agricultural,Survey & SIA (Social Impact Assessment),1.83,241.07,127.0,3.0,2,0.569,5.1,1,28.8
LA-2024-00072,560278,Bengaluru Urban,Karnataka,Barren/Waste,Possession,0.83,32.45,151.0,6.0,0,0.368,7.3,0,0.0
LA-2024-00073,440430,Nagpur,Maharashtra,Agricultural,Draft Declaration (Sec 19),13.36,34.9,30.0,4.0,2,0.045,6.7,0,0.0
LA-2024-00074,520905,Vijayawada,Andhra Pradesh,Residential,Draft Declaration (Sec 19),5.34,74.0,283.0,19.0,2,0.44,7.3,1,18.6
LA-2024-00075,201789,Gautam Buddha Nagar,Uttar Pradesh,Agricultural,Survey & SIA (Social Impact Assessment),2.74,24.71,357.0,5.0,1,0.571,7.1,0,0.0
LA-2024-00076,431270,Aurangabad,Maharashtra,Commercial,Possession,5.48,587.37,291.0,11.0,0,0.479,6.1,0,0.0
LA-2024-00077,641604,Coimbatore,Tamil Nadu,Forest,Survey & SIA (Social Impact Assessment),24.19,94.58,449.0,4.0,4,0.576,3.8,1,49.3
LA-2024-00078,570895,Mysuru,Karnataka,Agricultural,Award Enquiry (Sec 21-23),14.94,46.72,159.0,4.0,0,0.581,3.1,1,11.0
LA-2024-00079,395955,Surat,Gujarat,Commercial,Preliminary Notification (Sec 11),21.24,11.71,861.0,17.0,1,0.664,5.9,1,16.4
LA-2024-00080,201785,Gautam Buddha Nagar,Uttar Pradesh,Commercial,Preliminary Notification (Sec 11),16.2,56.79,117.0,26.0,0,0.659,5.5,0,0.0
LA-2024-00081,141215,Ludhiana,Punjab,Agricultural,Award Enquiry (Sec 21-23),5.05,14.49,187.0,3.0,0,0.862,6.8,0,0.0
LA-2024-00082,440316,Nagpur,Maharashtra,Agricultural,Award Enquiry (Sec 21-23),21.33,92.01,174.0,6.0,0,0.701,4.5,1,14.7
LA-2024-00083,530296,Visakhapatnam,Andhra Pradesh,Agricultural,Award Enquiry (Sec 21-23),18.14,5.0,255.0,7.0,0,0.504,4.2,1,12.9
LA-2024-00084,834235,Ranchi,Jharkhand,Wetland,Survey & SIA (Social Impact Assessment),9.98,166.42,185.0,4.0,0,0.57,5.5,1,35.0
LA-2024-00085,342257,Jodhpur,Rajasthan,Forest,Possession,11.59,29.88,205.0,4.0,0,0.228,5.1,0,0.0
LA-2024-00086,208384,Kanpur Nagar,Uttar Pradesh,Residential,Final Declaration,21.62,8.96,133.0,28.0,0,0.236,3.3,1,6.2
LA-2024-00087,506599,Warangal,Telangana,Commercial,Possession,5.83,44.01,159.0,19.0,4,0.652,5.8,1,39.5
LA-2024-00088,641457,Coimbatore,Tamil Nadu,Residential,Survey & SIA (Social Impact Assessment),27.79,45.42,41.0,,0,0.191,9.4,0,0.0
LA-2024-00089,800478,Patna,Bihar,Agricultural,Draft Declaration (Sec 19),17.82,42.05,404.0,6.0,0,0.542,5.9,0,0.0
LA-2024-00090,834320,Ranchi,Jharkhand,Agricultural,Draft Declaration (Sec 19),11.04,165.79,103.0,4.0,0,0.697,7.6,0,0.0
LA-2024-00091,440235,Nagpur,Maharashtra,Forest,Award Enquiry (Sec 21-23),40.51,64.19,153.0,3.0,0,0.77,8.4,1,38.7
LA-2024-00092,834998,Ranchi,Jharkhand,Agricultural,Award Enquiry (Sec 21-23),3.67,95.23,100.0,4.0,1,0.618,6.0,0,0.0
LA-2024-00093,751638,Khordha,Odisha,Agricultural,Final Declaration,7.45,35.29,339.0,3.0,0,0.632,6.7,0,0.0
LA-2024-00094,400306,Mumbai Suburban,Maharashtra,Forest,Preliminary Notification (Sec 11),6.17,67.06,147.0,4.0,0,0.085,5.0,1,17.7
LA-2024-00095,700828,Kolkata,West Bengal,Barren/Waste,Survey & SIA (Social Impact Assessment),14.95,12.9,35.0,5.0,0,0.494,4.0,0,0.0
LA-2024-00096,600846,Chennai,Tamil Nadu,Forest,Preliminary Notification (Sec 11),30.12,57.12,273.0,4.0,0,0.336,4.6,1,17.8
LA-2024-00097,580969,Dharwad,Karnataka,Agricultural,Award Declaration,4.78,21.75,126.0,3.0,0,0.747,8.2,0,0.0
LA-2024-00098,201243,Gautam Buddha Nagar,Uttar Pradesh,Wetland,Draft Declaration (Sec 19),183.03,156.59,218.0,2.0,0,0.861,5.2,1,16.7
LA-2024-00099,226675,Lucknow,Uttar Pradesh,Agricultural,Survey & SIA (Social Impact Assessment),6.28,48.03,413.0,7.0,0,0.76,5.6,0,0.0
LA-2024-00100,530981,Visakhapatnam,Andhra Pradesh,Agricultural,Draft Declaration (Sec 19),,83.91,106.0,6.0,0,0.576,4.6,0,0.0
LA-2024-00101,834825,Ranchi,Jharkhand,Wetland,Preliminary Notification (Sec 11),11.05,57.35,213.0,6.0,0,0.22,6.0,1,22.8
LA-2024-00102,560302,Bengaluru Urban,Karnataka,Residential,Possession,11.46,248.64,124.0,33.0,0,0.215,7.2,0,0.0
LA-2024-00103,834902,Ranchi,Jharkhand,Barren/Waste,Draft Declaration (Sec 19),5.62,10.15,464.0,1.0,0,0.543,8.8,0,0.0
LA-2024-00104,500479,Hyderabad,Telangana,Residential,Compensation Disbursement,27.31,40.12,235.0,29.0,0,0.47,2.7,1,6.4
LA-2024-00105,800539,Patna,Bihar,Forest,Award Enquiry (Sec 21-23),5.33,17.96,218.0,5.0,0,0.577,5.4,1,14.8
LA-2024-00106,800602,Patna,Bihar,Agricultural,Final Declaration,2.45,6.38,87.0,4.0,2,0.748,6.8,1,36.7
LA-2024-00107,800793,Patna,Bihar,Agricultural,Final Declaration,4.25,16.88,389.0,5.0,0,0.709,7.1,0,0.0
LA-2024-00108,226208,Lucknow,Uttar Pradesh,Barren/Waste,Award Enquiry (Sec 21-23),37.66,136.11,427.0,6.0,1,0.667,7.5,0,0.0
LA-2024-00109,431584,Aurangabad,Maharashtra,Barren/Waste,Award Enquiry (Sec 21-23),31.91,43.44,125.0,,0,0.376,5.0,0,0.0
LA-2024-00110,208834,Kanpur Nagar,Uttar Pradesh,Agricultural,Preliminary Notification (Sec 11),2.0,36.28,248.0,3.0,3,0.587,3.1,0,0.0
LA-2024-00111,600593,Chennai,Tamil Nadu,Agricultural,Compensation Disbursement,22.01,93.21,344.0,7.0,3,0.761,8.1,1,36.5
LA-2024-00112,800346,Patna,Bihar,Agricultural,Draft Declaration (Sec 19),2.04,49.88,1169.0,5.0,1,0.276,6.5,0,0.0
LA-2024-00113,395150,Surat,Gujarat,Agricultural,Draft Declaration (Sec 19),10.77,80.05,297.0,2.0,2,0.722,5.9,0,0.0
LA-2024-00114,440593,Nagpur,Maharashtra,Barren/Waste,Draft Declaration (Sec 19),3.95,60.75,221.0,3.0,0,0.228,6.9,0,0.0
LA-2024-00115,380732,Ahmedabad,Gujarat,Agricultural,Award Enquiry (Sec 21-23),23.5,74.86,197.0,2.0,0,0.482,5.8,1,11.8
LA-2024-00116,302594,Jaipur,Rajasthan,Agricultural,Draft Declaration (Sec 19),17.66,29.16,206.0,3.0,1,0.678,6.8,0,0.0
LA-2024-00117,505980,Karimnagar,Telangana,Barren/Waste,Draft Declaration (Sec 19),25.35,120.87,394.0,4.0,0,0.431,2.5,1,13.5
LA-2024-00118,530641,Visakhapatnam,Andhra Pradesh,Agricultural,Preliminary Notification (Sec 11),8.58,14.13,114.0,6.0,1,0.257,7.0,0,0.0
LA-2024-00119,580556,Dharwad,Karnataka,Agricultural,Draft Declaration (Sec 19),9.37,41.2,446.0,6.0,0,0.66,7.3,0,0.0
LA-2024-00120,520149,Vijayawada,Andhra Pradesh,Agricultural,Survey & SIA (Social Impact Assessment),3.08,126.73,70.0,7.0,0,0.429,6.4,0,0.0
LA-2024-00121,440602,Nagpur,Maharashtra,Agricultural,Award Declaration,4.59,38.61,365.0,4.0,0,0.205,4.9,1,14.9
LA-2024-00122,201251,Gautam Buddha Nagar,Uttar Pradesh,Agricultural,Draft Declaration (Sec 19),24.69,29.69,450.0,,0,0.351,5.7,1,13.5
LA-2024-00123,226751,Lucknow,Uttar Pradesh,Agricultural,Possession,15.06,393.08,405.0,4.0,0,0.512,7.5,1,17.9
LA-2024-00124,431244,Aurangabad,Maharashtra,Agricultural,Award Enquiry (Sec 21-23),12.05,172.03,271.0,5.0,0,0.498,6.9,0,0.0
LA-2024-00125,751915,Khordha,Odisha,Agricultural,Award Enquiry (Sec 21-23),32.23,51.14,298.0,7.0,2,0.283,6.5,1,24.6
LA-2024-00126,395371,Surat,Gujarat,Agricultural,Compensation Disbursement,3.65,17.78,164.0,6.0,0,0.435,6.8,0,0.0
LA-2024-00127,506490,Warangal,Telangana,Agricultural,Survey & SIA (Social Impact Assessment),20.33,6.47,95.0,7.0,0,0.467,6.7,1,13.0
LA-2024-00128,221230,Varanasi,Uttar Pradesh,Wetland,Final Declaration,4.05,87.64,267.0,1.0,3,0.402,4.9,1,41.7
LA-2024-00129,302289,Jaipur,Rajasthan,Agricultural,Preliminary Notification (Sec 11),38.71,148.8,233.0,4.0,0,,5.7,1,13.4
LA-2024-00130,226928,Lucknow,Uttar Pradesh,Agricultural,Survey & SIA (Social Impact Assessment),17.51,65.1,443.0,8.0,0,0.826,7.5,1,19.3
LA-2024-00131,395355,Surat,Gujarat,Barren/Waste,Draft Declaration (Sec 19),25.02,8.8,199.0,3.0,0,0.288,5.9,0,0.0
LA-2024-00132,395561,Surat,Gujarat,Agricultural,Award Enquiry (Sec 21-23),6.07,52.06,249.0,7.0,2,0.323,4.0,0,0.0
LA-2024-00133,506982,Warangal,Telangana,Agricultural,Award Declaration,70.44,28.15,275.0,2.0,1,0.448,4.5,1,17.8
LA-2024-00134,395660,Surat,Gujarat,Residential,Survey & SIA (Social Impact Assessment),60.27,52.12,340.0,30.0,0,0.462,4.5,1,8.5
LA-2024-00135,800137,Patna,Bihar,Forest,Award Enquiry (Sec 21-23),15.89,283.23,451.0,1.0,0,0.752,3.9,1,23.8
LA-2024-00136,641421,Coimbatore,Tamil Nadu,Agricultural,Survey & SIA (Social Impact Assessment),29.93,94.63,108.0,2.0,0,0.395,4.3,1,5.6
LA-2024-00137,342447,Jodhpur,Rajasthan,Commercial,Preliminary Notification (Sec 11),8.53,77.27,375.0,23.0,0,0.276,8.7,0,0.0
LA-2024-00138,500348,Hyderabad,Telangana,Commercial,Preliminary Notification (Sec 11),3.75,42.82,193.0,20.0,0,0.305,5.6,0,0.0
LA-2024-00139,625316,Madurai,Tamil Nadu,Agricultural,Award Enquiry (Sec 21-23),21.68,66.27,359.0,2.0,1,0.238,8.4,0,0.0
LA-2024-00140,440552,Nagpur,Maharashtra,Agricultural,Final Declaration,5.05,22.49,671.0,0.0,1,0.151,7.5,0,0.0
LA-2024-00141,110438,South Delhi,Delhi,Agricultural,Survey & SIA (Social Impact Assessment),33.57,75.73,46.0,2.0,0,0.414,3.9,0,0.0
LA-2024-00142,570364,Mysuru,Karnataka,Residential,Preliminary Notification (Sec 11),26.86,37.2,551.0,21.0,0,0.588,5.1,1,15.6
LA-2024-00143,600471,Chennai,Tamil Nadu,Agricultural,Final Declaration,13.46,20.47,203.0,6.0,2,0.517,4.4,0,0.0
LA-2024-00144,411408,Pune,Maharashtra,Agricultural,Award Declaration,,96.96,117.0,5.0,1,0.297,6.8,0,0.0
LA-2024-00145,110305,South Delhi,Delhi,Agricultural,Preliminary Notification (Sec 11),25.56,5.37,159.0,3.0,0,0.32,6.0,0,0.0
LA-2024-00146,751507,Khordha,Odisha,Barren/Waste,Award Enquiry (Sec 21-23),13.92,26.65,102.0,1.0,0,0.37,3.4,1,12.5
LA-2024-00147,505947,Karimnagar,Telangana,Agricultural,Award Enquiry (Sec 21-23),7.82,80.05,324.0,9.0,0,0.404,5.3,0,0.0
LA-2024-00148,580554,Dharwad,Karnataka,Agricultural,Final Declaration,3.04,143.07,102.0,2.0,0,0.418,5.9,0,0.0
LA-2024-00149,834637,Ranchi,Jharkhand,Agricultural,Preliminary Notification (Sec 11),24.9,69.97,546.0,2.0,0,0.149,6.3,0,0.0
LA-2024-00150,505984,Karimnagar,Telangana,Commercial,Compensation Disbursement,,23.61,372.0,13.0,0,0.387,4.1,1,10.4
LA-2024-00151,751651,Khordha,Odisha,Agricultural,Final Declaration,114.7,42.59,263.0,5.0,0,0.152,4.9,1,16.3
LA-2024-00152,600300,Chennai,Tamil Nadu,Barren/Waste,Draft Declaration (Sec 19),10.16,58.95,48.0,4.0,0,0.683,5.9,0,0.0
LA-2024-00153,160458,Chandigarh,Punjab,Agricultural,Award Declaration,14.25,196.86,82.0,2.0,0,0.393,6.0,1,9.4
LA-2024-00154,600538,Chennai,Tamil Nadu,Agricultural,Award Declaration,14.54,107.19,208.0,3.0,0,0.569,4.2,0,0.0
LA-2024-00155,440526,Nagpur,Maharashtra,Agricultural,Award Enquiry (Sec 21-23),19.17,107.94,217.0,3.0,0,0.708,5.6,0,0.0
LA-2024-00156,226234,Lucknow,Uttar Pradesh,Agricultural,Award Declaration,4.85,47.57,448.0,3.0,2,0.501,5.1,0,0.0
LA-2024-00157,520195,Vijayawada,Andhra Pradesh,Agricultural,Survey & SIA (Social Impact Assessment),10.32,16.16,30.0,2.0,0,0.383,7.0,0,0.0
LA-2024-00158,395414,Surat,Gujarat,Residential,Award Declaration,22.28,11.75,125.0,30.0,1,0.115,5.3,0,0.0
LA-2024-00159,380921,Ahmedabad,Gujarat,Agricultural,Draft Declaration (Sec 19),8.31,33.58,415.0,3.0,0,0.581,6.7,0,0.0
LA-2024-00160,800744,Patna,Bihar,Commercial,Award Declaration,21.58,86.87,172.0,22.0,2,0.646,7.1,0,0.0
LA-2024-00161,110856,South Delhi,Delhi,Agricultural,Draft Declaration (Sec 19),11.97,27.75,156.0,9.0,1,0.369,6.8,0,0.0
LA-2024-00162,226256,Lucknow,Uttar Pradesh,Forest,Preliminary Notification (Sec 11),15.51,76.98,66.0,6.0,1,0.174,7.2,0,0.0
LA-2024-00163,411472,Pune,Maharashtra,Agricultural,Draft Declaration (Sec 19),29.33,21.01,490.0,5.0,0,0.201,5.4,0,0.0
LA-2024-00164,411622,Pune,Maharashtra,Agricultural,Award Enquiry (Sec 21-23),9.09,24.33,154.0,3.0,0,0.178,3.9,1,20.5
LA-2024-00165,411490,Pune,Maharashtra,Agricultural,Final Declaration,3.21,170.31,503.0,3.0,0,,3.9,0,0.0
LA-2024-00166,834474,Ranchi,Jharkhand,Wetland,Award Declaration,8.79,92.62,665.0,4.0,0,0.236,6.6,0,0.0
LA-2024-00167,641423,Coimbatore,Tamil Nadu,Barren/Waste,Preliminary Notification (Sec 11),5.46,33.41,595.0,4.0,0,0.319,9.0,1,30.5
LA-2024-00168,560146,Bengaluru Urban,Karnataka,Residential,Survey & SIA (Social Impact Assessment),1.81,20.31,216.0,15.0,0,0.265,4.8,0,0.0
LA-2024-00169,625870,Madurai,Tamil Nadu,Barren/Waste,Final Declaration,10.07,110.11,154.0,9.0,1,0.365,8.0,1,19.4
LA-2024-00170,500938,Hyderabad,Telangana,Agricultural,Draft Declaration (Sec 19),13.06,102.78,146.0,4.0,0,0.199,3.6,1,6.0
LA-2024-00171,520172,Vijayawada,Andhra Pradesh,Agricultural,Award Enquiry (Sec 21-23),26.25,82.04,969.0,8.0,0,0.144,6.0,0,0.0
LA-2024-00172,506471,Warangal,Telangana,Agricultural,Possession,4.19,37.75,189.0,8.0,1,0.833,3.3,0,0.0
LA-2024-00173,800565,Patna,Bihar,Barren/Waste,Award Enquiry (Sec 21-23),11.88,15.8,488.0,5.0,1,0.396,4.6,1,50.5
LA-2024-00174,208804,Kanpur Nagar,Uttar Pradesh,Agricultural,Draft Declaration (Sec 19),28.76,44.08,318.0,,0,0.529,4.0,1,7.1
LA-2024-00175,201987,Gautam Buddha Nagar,Uttar Pradesh,Agricultural,Final Declaration,6.76,170.24,163.0,0.0,0,0.751,7.5,1,14.4
LA-2024-00176,440474,Nagpur,Maharashtra,Commercial,Compensation Disbursement,17.39,18.85,183.0,23.0,3,0.504,8.8,1,28.1
LA-2024-00177,208773,Kanpur Nagar,Uttar Pradesh,Agricultural,Award Enquiry (Sec 21-23),42.87,46.76,538.0,2.0,0,0.791,3.0,0,0.0
LA-2024-00178,530942,Visakhapatnam,Andhra Pradesh,Commercial,Award Declaration,2.26,,227.0,17.0,1,0.14,4.4,0,0.0
LA-2024-00179,160846,Chandigarh,Punjab,Agricultural,Draft Declaration (Sec 19),13.9,33.48,158.0,4.0,0,0.592,9.5,1,17.9
LA-2024-00180,380361,Ahmedabad,Gujarat,Forest,Award Enquiry (Sec 21-23),29.62,39.6,121.0,4.0,1,0.566,8.6,1,29.6
LA-2024-00181,141834,Ludhiana,Punjab,Barren/Waste,Survey & SIA (Social Impact Assessment),8.18,12.39,281.0,5.0,1,0.632,6.7,0,0.0
